,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
123,Ben,Mee,0,0,7,332,7,37.7,68.2,17.0,0,59,12.3,0,0,0,1.4,48,DEF
124,Christian,Nørgaard,1,1,35,1120,18,173.5,222.0,175.0,2,193,57.2,3,0,4,0.2,54,MID
125,Frank,Onyeka,0,1,15,458,11,104.2,99.4,79.0,0,64,28.2,1,0,3,0.0,49,MID
126,Ethan,Pinnock,1,0,43,1170,18,41.2,343.4,147.0,5,246,53.4,3,0,0,3.8,46,DEF
127,Mads,Roerslev Rasmussen,0,0,16,416,6,84.9,83.8,11.0,0,78,18.0,1,0,0,0.1,44,DEF
128,Kevin,Schade,1,1,19,255,2,42.0,48.2,62.0,2,40,15.1,1,0,0,0.1,53,MID
129,Thomas,Strakosha,0,0,4,135,2,0.0,42.8,0.0,0,24,4.3,0,0,0,2.5,39,GK
130,Ivan,Toney,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,79,FWD
131,Ryan,Trevitt,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
132,Yoane,Wissa,3,2,50,1063,14,148.3,183.0,336.0,7,166,66.0,5,0,1,8.6,59,FWD
133,Yegor,Yarmoliuk,0,0,7,129,1,4.4,15.6,41.0,0,13,6.1,1,0,0,0.6,44,MID
134,Mathias,Jorgensen,0,0,2,7,0,17.3,10.4,0.0,0,11,2.8,0,0,0,0.1,43,DEF
135,Neal,Maupay,1,2,23,390,8,70.7,95.0,245.0,2,59,40.8,2,0,2,1.1,49,FWD
136,Michael,Olakigbe,0,0,4,12,0,1.9,0.6,20.0,0,7,2.2,0,0,0,0.0,45,MID
137,Ethan,Brierley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
138,Saman,Ghoddos,1,0,11,165,4,73.1,55.6,13.0,0,40,14.2,0,0,3,0.1,45,MID
139,Ji-Soo,Kim,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
140,Valintino,Adedokun,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
141,Myles,Peart-Harris,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
142,Simon,Adingra,3,1,39,753,16,123.4,196.6,173.0,3,135,49.2,0,0,2,1.4,50,MID
143,Steven,Alzate,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID
144,Yasin,Ayari,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
145,Facundo,Buonanotte,0,1,6,165,2,29.2,25.2,25.0,0,8,8.0,0,0,2,0.0,47,MID
146,Aaron,Connolly,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
147,Mahmoud,Dahoud,0,1,13,404,5,126.4,70.4,22.0,0,68,21.7,1,1,1,0.1,48,MID
